,md,incl,azi,TVD,TVDSS,VSEC,NS,EW,DLS,BR,TR,Northing,Easting,Latitude,Longitude
17,1541.36,10.13,314.32,1531.51646844612,1418.51646844612,-119.369715125738,N 136.23,W 48.74,2.141234068645,0.570522979398,-12.076069730586,9245704.78903319,673428.003680374,S     6 49 17.29,E 112 34   9.84
18,1636.9,10.77,300.9,1625.48536987705,1512.48536987705,-126.007367861715,N 146.69,W 62.42,2.62772306262,0.669876491522,-14.046472681599,9245707.9759267,673423.836282286,S     6 49 17.19,E 112 34   9.70
19,1730.82,11.09,288.14,1717.71514828486,1604.71514828486,-128.990942780859,N 154.01,W 78.53,2.593120376921,0.340715502555,-13.586030664395,9245710.20695055,673418.924253272,S     6 49 17.12,E 112 34   9.54
20,1828.55,11.41,273.98,1813.58564737957,1700.58564737957,-127.748871967218,N 157.60,W 97.11,2.838395226666,0.327432722808,-14.488897984242,9245711.30359551,673413.26145007,S     6 49 17.08,E 112 34   9.36
21,1920.1,12.62,260.19,1903.14701357611,1790.14701357611,-121.906717911069,N 156.53,W 116.00,3.392489083396,1.321682140907,-15.062807209175,9245710.97572131,673407.502946988,S     6 49 17.09,E 112 34   9.17
22,2017.6,13.17,248.14,1998.20514601418,1885.20514601418,-110.862225332417,N 150.58,W 136.81,2.80985347805,0.564102564103,-12.358974358974,9245709.16173721,673401.160869389,S     6 49 17.15,E 112 34   8.96
23,2113.25,14.87,232.58,2091.03562256312,1978.03562256312,-94.670774948795,N 139.06,W 156.68,4.306395223518,1.777313120753,-16.267642446419,9245705.6505393,673395.104981806,S     6 49 17.27,E 112 34   8.77
24,2207.67,15.49,228.74,2182.16300836398,2069.16300836398,-74.653646642078,N 123.38,W 175.78,1.250763319918,0.656640542258,-4.066934971404,9245700.87219265,673389.283233852,S     6 49 17.42,E 112 34   8.58
25,2303.55,15.83,218.53,2274.50160676001,2161.50160676001,-52.072316742209,N 104.70,W 193.56,2.892521353378,0.354609929078,-10.648727576137,9245695.17951831,673383.865805013,S     6 49 17.61,E 112 34   8.40
26,2395.92,19.01,219.82,2362.62415799011,2249.62415799011,-26.91547903972,N 83.29,W 211.04,3.46776609126,3.442676193569,1.396557323806,9245688.6521424,673378.536121748,S     6 49 17.82,E 112 34   8.23
27,2492.87,23.08,223.02,2453.09144844306,2340.09144844306,4.130057993027,N 57.25,W 234.13,4.360680505379,4.198040226921,3.300670448685,9245680.71756819,673371.499448549,S     6 49 18.08,E 112 34   8.00
28,2588.8,26.28,221.21,2540.24855566496,2427.24855566496,39.703820476106,N 27.52,W 260.96,3.42717261907,3.335765662462,-1.88679245283,9245671.65554268,673363.322769032,S     6 49 18.38,E 112 34   7.73
29,2630.64,26.89,220.7,2577.66474502569,2464.66474502569,56.500077840052,N 13.38,W 273.23,1.55663356182,1.45793499044,-1.218929254302,9245667.345316,673359.582243178,S     6 49 18.52,E 112 34   7.61
30,2725.7,29.33,219.31,2661.50648466941,2548.50648466941,97.002814990947,S 20.94,W 302.00,2.657494400721,2.566799915843,-1.462234378287,9245656.88576852,673350.812702972,S     6 49 18.86,E 112 34   7.33
31,2820.54,31.41,222.0,2743.33174325816,2630.33174325816,140.097008011894,S 57.28,W 333.26,2.619902703957,2.193167439899,2.836355967946,9245645.80854343,673341.285904898,S     6 49 19.22,E 112 34   7.02
32,2916.17,34.08,222.96,2823.75809053874,2710.75809053874,185.858642025064,S 95.41,W 368.20,2.844243611776,2.792010875248,1.003869078741,9245634.18570022,673330.636503645,S     6 49 19.60,E 112 34   6.67
33,3007.73,36.64,222.77,2898.42201344551,2785.42201344551,232.578973809005,S 134.25,W 404.24,2.798555634713,2.795980777632,-0.20751419834,9245622.34887907,673319.651667818,S     6 49 19.99,E 112 34   6.32
34,3103.12,38.5,223.75,2974.02635158132,2861.02635158132,283.66643215654,S 176.60,W 444.10,2.047986607678,1.949889925569,1.027361358633,9245609.44203506,673307.501481803,S     6 49 20.41,E 112 34   5.92
35,3199.25,39.55,225.66,3048.70868566879,2935.70868566879,336.084095475459,S 219.60,W 486.68,1.660689573129,1.092270883179,1.986892749402,9245596.33375511,673294.52260211,S     6 49 20.84,E 112 34   5.50
36,3294.26,41.34,225.84,3121.01113937081,3008.01113937081,388.89741988757,S 262.61,W 530.83,1.888014989811,1.884012209241,0.189453741711,9245583.22618367,673281.066528678,S     6 49 21.26,E 112 34   5.06
37,3392.78,42.69,225.87,3194.20681410081,3081.20681410081,445.341032431018,S 308.53,W 578.15,1.37043168021,1.370280146163,0.030450669915,9245569.22839521,673266.644515071,S     6 49 21.72,E 112 34   4.60
38,3489.3,43.94,226.02,3264.43273454738,3151.43273454738,501.963087917281,S 354.57,W 625.74,1.299448392215,1.29506837961,0.155408205553,9245555.19583604,673252.140822189,S     6 49 22.18,E 112 34   4.12
39,3583.89,45.59,226.36,3331.5895100349,3218.5895100349,558.774327279894,S 400.68,W 673.81,1.762634679993,1.74437044085,0.359446030236,9245541.14235997,673237.489848614,S     6 49 22.64,E 112 34   3.65
40,3679.06,47.6,226.05,3396.98239331394,3283.98239331394,617.7379123032,S 448.53,W 723.71,2.125221984942,2.112010087212,-0.325732899023,9245526.55754669,673222.279655632,S     6 49 23.11,E 112 34   3.16
41,3774.43,51.08,225.65,3459.11311974811,3346.11311974811,679.662219506802,S 498.92,W 775.61,3.66277741803,3.6489462095,-0.41941910454,9245511.19937817,673206.461787491,S     6 49 23.62,E 112 34   2.64
42,3869.56,53.71,224.81,3517.15836250336,3404.15836250336,744.593057893876,S 552.00,W 829.10,2.85172678481,2.764637863976,-0.883002207506,9245495.02149582,673190.157723638,S     6 49 24.14,E 112 34   2.11
43,3964.99,57.06,224.04,3571.36108510446,3458.36108510446,812.8069533821,S 608.09,W 884.06,3.572638497702,3.510426490621,-0.806874148591,9245477.9263949,673173.40689088,S     6 49 24.70,E 112 34   1.57
44,4092.51,60.36,223.07,3637.58314488494,3524.58314488494,908.26375539564,S 687.06,W 959.12,2.668172677276,2.5878293601,-0.760664993726,9245453.85629706,673150.528058836,S     6 49 25.49,E 112 34   0.83
45,4187.68,63.42,222.11,3682.41948432043,3569.41948432043,982.468178654865,S 748.86,W 1015.91,3.33607944856,3.215298938741,-1.008721235683,9245435.02036412,673133.217750418,S     6 49 26.10,E 112 34   0.26
46,4288.58,66.86,219.78,3724.83653522398,3611.83653522398,1064.58865531675,S 818.01,W 1075.88,4.00139861516,3.409316154609,-2.309217046581,9245413.943507,673114.941859403,S     6 49 26.79,E 112 33 59.67
